fuel,avg_price
Benzin,7672.43402126329
Dizel / Naftë,7926.803932377802
Elektrikë,13135.03125
"Etanol (FFV, E85)",550.0
Gaz (TNG) / Benzinë,6328.752553916004
Hibrid & CNG,7294.2962962962965
Tjetër,8218.09090909091
