model,percent
Golf,5.942699862379582
A6,3.5531089703490553
C 220,3.415488552483423
Tiguan,2.614787939447016
C 300,2.30201426247967
A4,2.0392843738270985
Yaris,2.0392843738270985
Passat,2.026773426748405
Focus,2.014262479669711
Caddy,1.7640435380958337
Q5,1.7265106968597523
E 220,1.6639559614662829
Touran,1.6014012260728139
Fiesta,1.5513574377580381
XC 60,1.5513574377580381
C 200,1.5388464906793444
A3,1.3511822844989367
Golf Plus,1.313649443262855
Polo,1.2636056549480796
Jetta,1.2385837607906918
