municipality,avg_price
Elbasan,169534.1379310345
Tiranë,134554.00383141762
Berat,130000.0
Shkodër,104298.66666666667
Vlorë,99939.51219512195
Durrës,95163.02816901408
Krujë,84500.0
Lushnjë,77910.0
Korçë,68171.17647058824
Gramsh,57000.0
