model,count
Golf,475
A6,284
C 220,273
Tiguan,209
C 300,184
A4,163
Yaris,163
Passat,162
Focus,161
Caddy,141
Q5,138
E 220,133
Touran,128
Fiesta,124
XC 60,124
C 200,123
A3,108
Golf Plus,105
Polo,101
Jetta,99
